CompCode,POINT_X,POINT_Y
3,42894.0753,381369.431
,,
3,42956.0751,381350.4311
,,
3,42987.0752,381318.4311
,,
3,43011.0751,381270.4311
,,
3,43011.0751,381214.4311
,,
3,42938.0751,381052.4313
,,
3,42865.0751,380881.4315
,,
3,42860.075,380829.4315
,,
3,42893.0751,380794.4315
,,
3,43051.075,380705.4316
,,
3,43357.0748,380525.4315
,,
3,43411.0747,380490.4316
,,
3,43564.0746,380372.4316
,,
3,43734.0745,380246.4317
,,
3,43827.0744,380177.4318
,,
3,43861.0743,380043.4317
,,
3,43889.0744,379993.4318
,,
3,43935.0744,379956.4318
,,
3,43998.0743,379923.4318
,,
3,44164.0742,379809.4318
,,
3,44231.0741,379761.4319
,,
3,44285.0741,379724.4319
,,
3,44417.074,379631.4318
,,
3,44521.074,379497.4319
,,
3,44547.074,379464.4319
,,
3,44650.0739,379388.4319
,,
3,44702.0738,379332.432
,,
3,44843.0737,379172.432
,,
3,45060.0736,378932.4323
,,
3,45075.0735,378909.4322
,,
3,45086.0734,378885.4322
,,
3,45169.0734,378806.4322
,,
3,45295.0734,378670.4323
,,
3,45370.0732,378579.4324
,,
3,45404.0732,378561.4323
,,
3,45447.8241,378558.4495
,,
3,45471.9132,378562.0445
,,
3,45613.0731,378583.4324
,,
3,45688.0732,378571.4323
,,
3,45711.0023,378485.697
,,
3,45725.8848,378495.0505
,,
3,45722.3961,378546.5817
,,
3,45724.1124,378546.9206
,,
3,45724.073,378547.4322
,,
3,45747.1671,378551.4737
,,
3,45761.4819,378554.3007
,,
3,45761.1825,378559.6183
,,
3,45757.9853,378616.3943
,,
3,45883.4105,378669.7703
,,
3,45931.7892,378689.8956
,,
3,45988.2655,378713.1148
,,
3,46018.921,378723.6136
,,
3,46024.073,378725.432
,,
3,46044.1701,378731.6384
,,
3,46089.6753,378745.9594
,,
3,46170.4718,378772.2411
,,
3,46250.3036,378797.9918
,,
3,46343.225,378827.8675
,,
3,46424.8068,378853.9618
,,
3,46489.9901,378875.8061
,,
3,46495.6748,378877.5812
,,
3,46539.0729,378891.4318
,,
3,46550.5902,378895.1875
,,
3,46582.7164,378906.338
,,
3,46618.9833,378917.9921
,,
3,46629.0728,378921.4317
,,
3,46646.1669,378926.8041
,,
3,46696.7081,378943.2451
,,
3,46748.3004,378958.5786
,,
3,46777.0728,378967.4316
,,
3,46814.4678,378978.9093
,,
3,46875.9262,378998.2152
,,
3,46941.6082,379021.1904
,,
3,46945.0726,379022.4314
,,
3,46983.3197,379034.6009
,,
3,47008.5116,379042.6849
,,
3,47010.5271,379043.2577
,,
3,47011.0727,379043.4314
,,
3,47080.6841,379063.3204
,,
3,47096.2072,379068.7916
,,
3,47129.0727,379080.4314
,,
3,47139.7899,379083.6789
,,
3,47159.6986,379089.9674
,,
3,47197.2045,379103.0428
,,
3,47201.0725,379104.4313
,,
3,47250.0725,379119.4313
,,
3,47278.3698,379128.2452
,,
