gebied;compartiment;datetime;X_RD;Y_RD;date_added;source;script;parameter;unit;method;value
Westerschelde;1;1991-09-27T00:00:00Z;28327.815783213737;381972.1803253431;2026-06-10;NIOZ_karlien;load_niozkarlien_integrated_pp.Rmd;alfaB_EP;mgC (mg chla)-1 h-1)/(µmol fotonen m-2 s-1);14C incubation;0.038179965887903
Westerschelde;1;1991-09-27T00:00:00Z;28327.815783213737;381972.1803253431;2026-06-10;NIOZ_karlien;load_niozkarlien_integrated_pp.Rmd;chlfa;ug/l;scanfish;6.48
Westerschelde;1;1991-09-27T00:00:00Z;28327.815783213737;381972.1803253431;2026-06-10;NIOZ_karlien;load_niozkarlien_integrated_pp.Rmd;PP_depth_integrated;mgC_m2_d;calculated;181.54415184884405
Westerschelde;1;1991-10-22T00:00:00Z;28327.815783213737;381972.1803253431;2026-06-10;NIOZ_karlien;load_niozkarlien_integrated_pp.Rmd;Eopt_EP;µmol fotonen m-2 s-1;14C incubation;514.726321016143
Westerschelde;1;1991-10-22T00:00:00Z;28327.815783213737;381972.1803253431;2026-06-10;NIOZ_karlien;load_niozkarlien_integrated_pp.Rmd;Kd;/m;scanfish;1.026
Westerschelde;1;1991-10-22T00:00:00Z;28327.815783213737;381972.1803253431;2026-06-10;NIOZ_karlien;load_niozkarlien_integrated_pp.Rmd;PBmax_EP;mgC (mg chla)-1 h-1;14C incubation;6.03610577811244
Westerschelde;1;1991-10-22T00:00:00Z;28327.815783213737;381972.1803253431;2026-06-10;NIOZ_karlien;load_niozkarlien_integrated_pp.Rmd;alfaB_EP;mgC (mg chla)-1 h-1)/(µmol fotonen m-2 s-1);14C incubation;0.0175558817285654
Westerschelde;1;1991-10-22T00:00:00Z;28327.815783213737;381972.1803253431;2026-06-10;NIOZ_karlien;load_niozkarlien_integrated_pp.Rmd;chlfa;ug/l;scanfish;3.14
Westerschelde;1;1991-10-22T00:00:00Z;28327.815783213737;381972.1803253431;2026-06-10;NIOZ_karlien;load_niozkarlien_integrated_pp.Rmd;PP_depth_integrated;mgC_m2_d;calculated;250.3267322917197
Westerschelde;1;1991-11-20T00:00:00Z;28327.815783213737;381972.1803253431;2026-06-10;NIOZ_karlien;load_niozkarlien_integrated_pp.Rmd;Eopt_EP;µmol fotonen m-2 s-1;14C incubation;352.23280718632
Westerschelde;1;1991-11-20T00:00:00Z;28327.815783213737;381972.1803253431;2026-06-10;NIOZ_karlien;load_niozkarlien_integrated_pp.Rmd;Kd;/m;scanfish;1.676
Westerschelde;1;1991-11-20T00:00:00Z;28327.815783213737;381972.1803253431;2026-06-10;NIOZ_karlien;load_niozkarlien_integrated_pp.Rmd;PBmax_EP;mgC (mg chla)-1 h-1;14C incubation;3.98989883589133
Westerschelde;1;1991-11-20T00:00:00Z;28327.815783213737;381972.1803253431;2026-06-10;NIOZ_karlien;load_niozkarlien_integrated_pp.Rmd;alfaB_EP;mgC (mg chla)-1 h-1)/(µmol fotonen m-2 s-1);14C incubation;0.0204065296321385
Westerschelde;1;1991-11-20T00:00:00Z;28327.815783213737;381972.1803253431;2026-06-10;NIOZ_karlien;load_niozkarlien_integrated_pp.Rmd;chlfa;ug/l;scanfish;2.2
Westerschelde;1;1991-11-20T00:00:00Z;28327.815783213737;381972.1803253431;2026-06-10;NIOZ_karlien;load_niozkarlien_integrated_pp.Rmd;PP_depth_integrated;mgC_m2_d;calculated;43.179473496394856
Westerschelde;1;1991-12-18T00:00:00Z;28327.815783213737;381972.1803253431;2026-06-10;NIOZ_karlien;load_niozkarlien_integrated_pp.Rmd;Eopt_EP;µmol fotonen m-2 s-1;14C incubation;280.335660475688
Westerschelde;1;1991-12-18T00:00:00Z;28327.815783213737;381972.1803253431;2026-06-10;NIOZ_karlien;load_niozkarlien_integrated_pp.Rmd;Kd;/m;scanfish;2.587
Westerschelde;1;1991-12-18T00:00:00Z;28327.815783213737;381972.1803253431;2026-06-10;NIOZ_karlien;load_niozkarlien_integrated_pp.Rmd;PBmax_EP;mgC (mg chla)-1 h-1;14C incubation;3.22516957401804
Westerschelde;1;1991-12-18T00:00:00Z;28327.815783213737;381972.1803253431;2026-06-10;NIOZ_karlien;load_niozkarlien_integrated_pp.Rmd;alfaB_EP;mgC (mg chla)-1 h-1)/(µmol fotonen m-2 s-1);14C incubation;0.0205003826665401
Westerschelde;1;1991-12-18T00:00:00Z;28327.815783213737;381972.1803253431;2026-06-10;NIOZ_karlien;load_niozkarlien_integrated_pp.Rmd;chlfa;ug/l;scanfish;2.93
Westerschelde;1;1991-12-18T00:00:00Z;28327.815783213737;381972.1803253431;2026-06-10;NIOZ_karlien;load_niozkarlien_integrated_pp.Rmd;PP_depth_integrated;mgC_m2_d;calculated;36.84652966467733
Westerschelde;3;1997-04-28T00:00:00Z;37628.03749187237;382254.8140019975;2026-06-10;NIOZ_karlien;load_niozkarlien_integrated_pp.Rmd;Eopt_EP;µmol fotonen m-2 s-1;14C incubation;470.173187864754
Westerschelde;3;1997-04-28T00:00:00Z;37628.03749187237;382254.8140019975;2026-06-10;NIOZ_karlien;load_niozkarlien_integrated_pp.Rmd;Kd;/m;scanfish;0.955
Westerschelde;3;1997-04-28T00:00:00Z;37628.03749187237;382254.8140019975;2026-06-10;NIOZ_karlien;load_niozkarlien_integrated_pp.Rmd;PBmax_EP;mgC (mg chla)-1 h-1;14C incubation;11.0831716861954
Westerschelde;3;1997-04-28T00:00:00Z;37628.03749187237;382254.8140019975;2026-06-10;NIOZ_karlien;load_niozkarlien_integrated_pp.Rmd;alfaB_EP;mgC (mg chla)-1 h-1)/(µmol fotonen m-2 s-1);14C incubation;0.0373196615024547
Westerschelde;3;1997-04-28T00:00:00Z;37628.03749187237;382254.8140019975;2026-06-10;NIOZ_karlien;load_niozkarlien_integrated_pp.Rmd;chlfa;ug/l;scanfish;11.85
Westerschelde;3;1997-04-28T00:00:00Z;37628.03749187237;382254.8140019975;2026-06-10;NIOZ_karlien;load_niozkarlien_integrated_pp.Rmd;PP_depth_integrated;mgC_m2_d;calculated;3085.2845280989964
Westerschelde;3;1997-04-28T00:00:00Z;46127.77277578226;374462.2935753985;2026-06-10;NIOZ_karlien;load_niozkarlien_integrated_pp.Rmd;Eopt_EP;µmol fotonen m-2 s-1;14C incubation;528.643776907052
