latitude longitude stationname datetime depth parametername parameterunit value
51.5481 3.4095 "Walcheren 2 km uit de kust" 1999-02-03T06:12:00Z -1 "Chlorofyl a in ug/l in oppervlaktewater" ug/l 4
51.5481 3.4095 "Walcheren 2 km uit de kust" 1999-02-09T18:15:00Z -1 "Chlorofyl a in ug/l in oppervlaktewater" ug/l 3.24
51.5481 3.4095 "Walcheren 2 km uit de kust" 1999-03-09T01:21:00Z -1 "Chlorofyl a in ug/l in oppervlaktewater" ug/l 2.28
51.5481 3.4095 "Walcheren 2 km uit de kust" 1999-03-26T04:29:00Z -1 "Chlorofyl a in ug/l in oppervlaktewater" ug/l 5.7
51.41288731 3.56579345 "Vlissingen boei SSVH" 1999-01-11T09:17:00Z -1 "Chlorofyl a in ug/l in oppervlaktewater" ug/l 0.98
51.41288731 3.56579345 "Vlissingen boei SSVH" 1999-02-10T09:24:00Z -1 "Chlorofyl a in ug/l in oppervlaktewater" ug/l 1.32
51.41288731 3.56579345 "Vlissingen boei SSVH" 1999-02-24T13:01:00Z -1 "Chlorofyl a in ug/l in oppervlaktewater" ug/l 1.5
51.41288731 3.56579345 "Vlissingen boei SSVH" 1999-03-10T07:43:00Z -1 "Chlorofyl a in ug/l in oppervlaktewater" ug/l 1.94
51.41288731 3.56579345 "Vlissingen boei SSVH" 1999-04-07T06:08:00Z -1 "Chlorofyl a in ug/l in oppervlaktewater" ug/l 7.94
51.41288731 3.56579345 "Vlissingen boei SSVH" 1999-04-29T06:21:00Z -1 "Chlorofyl a in ug/l in oppervlaktewater" ug/l 34.2
51.41288731 3.56579345 "Vlissingen boei SSVH" 1999-05-03T05:41:00Z -1 "Chlorofyl a in ug/l in oppervlaktewater" ug/l 30.4
51.41288731 3.56579345 "Vlissingen boei SSVH" 1999-05-19T05:35:00Z -1 "Chlorofyl a in ug/l in oppervlaktewater" ug/l 5.7
51.41288731 3.56579345 "Vlissingen boei SSVH" 1999-06-07T08:05:00Z -1 "Chlorofyl a in ug/l in oppervlaktewater" ug/l 16.6
51.41288731 3.56579345 "Vlissingen boei SSVH" 1999-06-21T06:41:00Z -1 "Chlorofyl a in ug/l in oppervlaktewater" ug/l 5.96
51.41288731 3.56579345 "Vlissingen boei SSVH" 1999-07-05T06:47:00Z -1 "Chlorofyl a in ug/l in oppervlaktewater" ug/l 12.8
51.41288731 3.56579345 "Vlissingen boei SSVH" 1999-07-19T07:27:00Z -1 "Chlorofyl a in ug/l in oppervlaktewater" ug/l 8.94
51.41288731 3.56579345 "Vlissingen boei SSVH" 1999-08-02T05:22:00Z -1 "Chlorofyl a in ug/l in oppervlaktewater" ug/l 0.76
51.41288731 3.56579345 "Vlissingen boei SSVH" 1999-08-13T07:45:00Z -1 "Chlorofyl a in ug/l in oppervlaktewater" ug/l 0.04
51.41288731 3.56579345 "Vlissingen boei SSVH" 1999-08-16T05:48:00Z -1 "Chlorofyl a in ug/l in oppervlaktewater" ug/l 5
51.41288731 3.56579345 "Vlissingen boei SSVH" 1999-08-30T04:07:00Z -1 "Chlorofyl a in ug/l in oppervlaktewater" ug/l 5.36
51.41288731 3.56579345 "Vlissingen boei SSVH" 1999-09-13T05:08:00Z -1 "Chlorofyl a in ug/l in oppervlaktewater" ug/l 1.64
51.41288731 3.56579345 "Vlissingen boei SSVH" 1999-09-29T05:38:00Z -1 "Chlorofyl a in ug/l in oppervlaktewater" ug/l 4.14
51.41288731 3.56579345 "Vlissingen boei SSVH" 1999-10-18T09:00:00Z -1 "Chlorofyl a in ug/l in oppervlaktewater" ug/l 2.88
51.41288731 3.56579345 "Vlissingen boei SSVH" 1999-11-15T06:50:00Z -1 "Chlorofyl a in ug/l in oppervlaktewater" ug/l 1.04
51.41288731 3.56579345 "Vlissingen boei SSVH" 1999-11-17T12:43:00Z -1 "Chlorofyl a in ug/l in oppervlaktewater" ug/l 0.78
51.41288731 3.56579345 "Vlissingen boei SSVH" 1999-12-14T06:57:00Z -1 "Chlorofyl a in ug/l in oppervlaktewater" ug/l 0.96
51.34742676 3.82569972 "Terneuzen boei 20" 1999-01-11T10:46:00Z -1 "Chlorofyl a in ug/l in oppervlaktewater" ug/l 1.1
51.34742676 3.82569972 "Terneuzen boei 20" 1999-02-10T11:06:00Z -1 "Chlorofyl a in ug/l in oppervlaktewater" ug/l 0.86
51.34742676 3.82569972 "Terneuzen boei 20" 1999-02-23T12:31:00Z -1 "Chlorofyl a in ug/l in oppervlaktewater" ug/l 2.12
51.34742676 3.82569972 "Terneuzen boei 20" 1999-04-28T18:27:00Z -1 "Chlorofyl a in ug/l in oppervlaktewater" ug/l 20.4
51.34742676 3.82569972 "Terneuzen boei 20" 1999-08-18T11:27:00Z -1 "Chlorofyl a in ug/l in oppervlaktewater" ug/l 4.36
51.34742676 3.82569972 "Terneuzen boei 20" 1999-11-15T08:40:00Z -1 "Chlorofyl a in ug/l in oppervlaktewater" ug/l 0.9
51.34742676 3.82569972 "Terneuzen boei 20" 1999-11-18T14:44:00Z -1 "Chlorofyl a in ug/l in oppervlaktewater" ug/l 1.52
51.34742676 3.82569972 "Terneuzen boei 20" 1999-12-14T08:54:00Z -1 "Chlorofyl a in ug/l in oppervlaktewater" ug/l 0.74
51.43701537 4.01438853 "Hansweert geul" 1999-01-11T12:31:00Z -1 "Chlorofyl a in ug/l in oppervlaktewater" ug/l 1.02
51.43701537 4.01438853 "Hansweert geul" 1999-02-10T13:19:00Z -1 "Chlorofyl a in ug/l in oppervlaktewater" ug/l 1.06
51.43701537 4.01438853 "Hansweert geul" 1999-03-10T11:41:00Z -1 "Chlorofyl a in ug/l in oppervlaktewater" ug/l 2
51.43701537 4.01438853 "Hansweert geul" 1999-04-07T09:43:00Z -1 "Chlorofyl a in ug/l in oppervlaktewater" ug/l 3.62
51.43701537 4.01438853 "Hansweert geul" 1999-05-03T09:24:00Z -1 "Chlorofyl a in ug/l in oppervlaktewater" ug/l 14.8
51.43701537 4.01438853 "Hansweert geul" 1999-05-19T10:20:00Z -1 "Chlorofyl a in ug/l in oppervlaktewater" ug/l 9.24
51.43701537 4.01438853 "Hansweert geul" 1999-06-07T11:29:00Z -1 "Chlorofyl a in ug/l in oppervlaktewater" ug/l 11.6
51.43701537 4.01438853 "Hansweert geul" 1999-06-21T11:18:00Z -1 "Chlorofyl a in ug/l in oppervlaktewater" ug/l 8.04
51.43701537 4.01438853 "Hansweert geul" 1999-07-05T10:49:00Z -1 "Chlorofyl a in ug/l in oppervlaktewater" ug/l 3.68
51.43701537 4.01438853 "Hansweert geul" 1999-07-19T12:18:00Z -1 "Chlorofyl a in ug/l in oppervlaktewater" ug/l 8.68
51.43701537 4.01438853 "Hansweert geul" 1999-08-02T09:10:00Z -1 "Chlorofyl a in ug/l in oppervlaktewater" ug/l 0.84
51.43701537 4.01438853 "Hansweert geul" 1999-08-16T09:49:00Z -1 "Chlorofyl a in ug/l in oppervlaktewater" ug/l 3.92
51.43701537 4.01438853 "Hansweert geul" 1999-08-30T07:21:00Z -1 "Chlorofyl a in ug/l in oppervlaktewater" ug/l 3.82
51.43701537 4.01438853 "Hansweert geul" 1999-09-13T09:25:00Z -1 "Chlorofyl a in ug/l in oppervlaktewater" ug/l 5.22
51.43701537 4.01438853 "Hansweert geul" 1999-09-29T09:03:00Z -1 "Chlorofyl a in ug/l in oppervlaktewater" ug/l 3.92
51.43701537 4.01438853 "Hansweert geul" 1999-10-18T12:52:00Z -1 "Chlorofyl a in ug/l in oppervlaktewater" ug/l 4.4
51.43701537 4.01438853 "Hansweert geul" 1999-11-15T11:20:00Z -1 "Chlorofyl a in ug/l in oppervlaktewater" ug/l 1.76
51.43701537 4.01438853 "Hansweert geul" 1999-12-14T10:55:00Z -1 "Chlorofyl a in ug/l in oppervlaktewater" ug/l 1.04
51.35118367 4.2509326 "Schaar van Ouden Doel" 1999-01-05T12:03:00Z -1 "Chlorofyl a in ug/l in oppervlaktewater" ug/l 3
51.35118367 4.2509326 "Schaar van Ouden Doel" 1999-01-20T12:02:00Z -1 "Chlorofyl a in ug/l in oppervlaktewater" ug/l 2
51.35118367 4.2509326 "Schaar van Ouden Doel" 1999-02-03T11:48:00Z -1 "Chlorofyl a in ug/l in oppervlaktewater" ug/l 1
51.35118367 4.2509326 "Schaar van Ouden Doel" 1999-02-18T11:59:00Z -1 "Chlorofyl a in ug/l in oppervlaktewater" ug/l 2
