FID,id,latitude,longitude,depth,datetime,value,standardparameterid,dataproviderid,imisdatasetid,parametername,parameterunit,dataprovider,stationname,unit,valuesign
abiotic_observations.fid--3256cea3_182c573e9e4_-2dae,187595481,51.35118367,4.2509326,-1,2020-07-07T14:05:00Z,0.4,26,8,135,Ammonium in mgN/L in Oppervlaktewater,mgN/L,RWS - Rijkswaterstaat,Schaar van Ouden Doel,mgN/L,=
abiotic_observations.fid--3256cea3_182c573e9e4_-2dad,187595482,51.35118367,4.2509326,-1,2020-07-23T14:45:00Z,0.39,26,8,135,Ammonium in mgN/L in Oppervlaktewater,mgN/L,RWS - Rijkswaterstaat,Schaar van Ouden Doel,mgN/L,=
abiotic_observations.fid--3256cea3_182c573e9e4_-2dac,187595483,51.35118367,4.2509326,-1,2020-08-06T14:28:00Z,0.41,26,8,135,Ammonium in mgN/L in Oppervlaktewater,mgN/L,RWS - Rijkswaterstaat,Schaar van Ouden Doel,mgN/L,=
abiotic_observations.fid--3256cea3_182c573e9e4_-2dab,187595484,51.35118367,4.2509326,-1,2020-08-20T13:45:00Z,0.4,26,8,135,Ammonium in mgN/L in Oppervlaktewater,mgN/L,RWS - Rijkswaterstaat,Schaar van Ouden Doel,mgN/L,=
abiotic_observations.fid--3256cea3_182c573e9e4_-2daa,187595485,51.35118367,4.2509326,-1,2020-09-03T12:01:00Z,0.57,26,8,135,Ammonium in mgN/L in Oppervlaktewater,mgN/L,RWS - Rijkswaterstaat,Schaar van Ouden Doel,mgN/L,=
abiotic_observations.fid--3256cea3_182c573e9e4_-2da9,187595486,51.35118367,4.2509326,-1,2020-09-17T12:25:00Z,0.37,26,8,135,Ammonium in mgN/L in Oppervlaktewater,mgN/L,RWS - Rijkswaterstaat,Schaar van Ouden Doel,mgN/L,=
abiotic_observations.fid--3256cea3_182c573e9e4_-2da8,187595487,51.35118367,4.2509326,-1,2020-10-01T12:34:00Z,0.39,26,8,135,Ammonium in mgN/L in Oppervlaktewater,mgN/L,RWS - Rijkswaterstaat,Schaar van Ouden Doel,mgN/L,=
abiotic_observations.fid--3256cea3_182c573e9e4_-2da7,187595488,51.35118367,4.2509326,-1,2020-10-15T11:11:00Z,0.36,26,8,135,Ammonium in mgN/L in Oppervlaktewater,mgN/L,RWS - Rijkswaterstaat,Schaar van Ouden Doel,mgN/L,=
abiotic_observations.fid--3256cea3_182c573e9e4_-2da6,187595489,51.35118367,4.2509326,-1,2020-10-26T19:08:00Z,0.41,26,8,135,Ammonium in mgN/L in Oppervlaktewater,mgN/L,RWS - Rijkswaterstaat,Schaar van Ouden Doel,mgN/L,=
abiotic_observations.fid--3256cea3_182c573e9e4_-2da5,187595490,51.35118367,4.2509326,-1,2020-11-10T17:59:00Z,0.35,26,8,135,Ammonium in mgN/L in Oppervlaktewater,mgN/L,RWS - Rijkswaterstaat,Schaar van Ouden Doel,mgN/L,=
